symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VOO,2010-12-20,57.24,57.37,56.98,57.29,145144,94.9119321237,95.1274903203,94.4808157304,94.9948391224,72572,0.0,1.0
VOO,2010-12-21,57.59,57.65,57.39,57.43,152307,95.4922811147,95.5917695131,95.1606531198,95.2269787188,76153,0.0,1.0
VOO,2010-12-22,57.8,57.8,57.624,57.67,216413,95.8404905092,95.8404905092,95.5486578738,95.6249323126,108206,0.0,1.0
VOO,2010-12-23,57.71,57.76,57.579,57.72,114737,95.6912579116,95.7741649103,95.4740415749,95.7078393113,57368,0.0,1.0
VOO,2010-12-27,57.49,57.51,57.2,57.23,143539,95.7625579304,95.7958724401,95.2794975408,95.3294693053,71769,0.263,1.0
VOO,2010-12-28,57.55,57.61,57.4,57.61,113214,95.8625014593,95.9624449882,95.6126426371,95.9624449882,56607,0.0,1.0
VOO,2010-12-29,57.6,57.72,57.6,57.66,107140,95.9457877334,96.1456747912,95.9457877334,96.0457312623,53570,0.0,1.0
VOO,2010-12-30,57.51,57.63,57.438,57.56,157733,95.7958724401,95.9957594979,95.6759402054,95.8791587142,78866,0.0,1.0
VOO,2010-12-31,57.57,57.57,57.34,57.43,291422,95.895815969,95.895815969,95.5126991082,95.6626144016,145711,0.0,1.0
VOO,2011-01-03,58.11,58.33,57.949,57.97,238356,96.795307729,97.1617673349,96.5271259264,96.5621061616,119178,0.0,1.0
VOO,2011-01-04,58.06,58.28,57.7494,58.28,216668,96.7120214549,97.0784810608,96.1946471203,97.0784810608,108334,0.0,1.0
VOO,2011-01-05,58.37,58.4,57.86,57.93,233479,97.2283963542,97.2783681186,96.3788763586,96.4954771423,116739,0.0,1.0
VOO,2011-01-06,58.27,58.46,58.11,58.42,144831,97.061823806,97.3783116475,96.795307729,97.3116826282,72415,0.0,1.0
VOO,2011-01-07,58.153,58.43,57.74,58.35,164482,96.8669339247,97.328339883,96.1789893008,97.1950818445,82241,0.0,1.0
VOO,2011-01-10,58.1,58.14,57.74,57.94,248918,96.7786504742,96.8452794934,96.1789893008,96.5121343971,124459,0.0,1.0
VOO,2011-01-11,58.29,58.424,58.06,58.33,263373,97.0951383156,97.3183455302,96.7120214549,97.1617673349,131686,0.0,1.0
VOO,2011-01-12,58.81,58.8594,58.55,58.66,214619,97.961315566,98.0436024048,97.5282269408,97.7114567438,107309,0.0,1.0
VOO,2011-01-13,58.73,58.87,58.58,58.84,192092,97.8280575275,98.0612590949,97.5781987053,98.0112873304,96046,0.0,1.0
VOO,2011-01-14,59.15,59.17,58.63,58.65,386770,98.5276622297,98.5609767393,97.6614849793,97.694799489,193385,0.0,1.0
VOO,2011-01-18,59.25,59.29,59.0238,59.13,389755,98.6942347779,98.7608637971,98.3174476739,98.4943477201,194877,0.0,1.0
VOO,2011-01-19,58.66,59.25,58.51,59.22,223874,97.7114567438,98.6942347779,97.4615979216,98.6442630134,111937,0.0,1.0
